production_id,plant_id,production_date,product_code,target_strength_mpa,volume_m3,cement_kg_m3,water_l_m3,fine_aggregate_kg_m3,coarse_aggregate_kg_m3,moisture_pct,process_efficiency,material_cost_cad
PRD0000977,PLT001,2025-11-09,C30,30,77.04,301.95,169.79,798.81,1032.64,5.04,0.98,15330.35
PRD0000978,PLT001,2025-11-09,C30,30,88.55,309.56,176.2,750.1,1007.92,3.8,0.8612,18142.12
PRD0000979,PLT001,2025-11-09,C30,30,105.04,300.8,177.68,778.94,1034.13,4.83,0.934,21141.14
PRD0000980,PLT001,2025-11-10,C40,40,113.58,367.48,157.56,754.49,1065.91,3.93,0.9237,26390.19
PRD0000981,PLT001,2025-11-10,C30,30,102.22,307.6,177.22,747.69,976.26,3.72,0.9193,20646.84
PRD0000982,PLT001,2025-11-10,C40,40,55.0,363.84,159.59,776.03,1003.26,5.04,0.9095,12823.7
PRD0000983,PLT001,2025-11-10,C30,30,139.58,289.28,179.47,759.51,1052.57,5.63,0.9333,28096.74
PRD0000984,PLT001,2025-11-11,C35,35,125.75,336.88,168.47,735.69,984.45,6.87,0.8765,27481.19
PRD0000985,PLT001,2025-11-11,C40,40,100.76,362.63,163.7,758.88,980.97,4.48,0.8721,23707.21
PRD0000986,PLT001,2025-11-12,C35,35,77.39,329.0,163.34,781.29,1019.79,3.85,0.9361,16669.12
PRD0000987,PLT001,2025-11-12,C25,25,109.62,250.73,177.29,757.97,1007.85,5.92,0.8916,20829.07
PRD0000988,PLT001,2025-11-12,C25,25,139.19,258.4,179.34,780.8,1012.35,6.15,0.9362,26160.83
PRD0000989,PLT001,2025-11-12,C40,40,91.7,363.18,164.11,760.11,1029.26,2.48,0.9034,21412.3
PRD0000990,PLT001,2025-11-13,C35,35,101.61,333.97,166.36,747.96,1048.8,4.45,0.9729,21686.79
PRD0000991,PLT001,2025-11-13,C30,30,115.27,302.73,179.9,751.15,1045.78,2.9,0.8812,23501.99
PRD0000992,PLT001,2025-11-13,C30,30,140.24,299.88,174.74,756.5,963.48,1.5,0.8565,28763.54
PRD0000993,PLT001,2025-11-13,C35,35,123.93,331.38,164.84,746.26,986.76,4.0,0.9112,26856.67
PRD0000994,PLT001,2025-11-14,C35,35,96.33,325.83,171.7,738.26,1003.73,5.79,0.9054,20905.03
PRD0000995,PLT001,2025-11-14,C30,30,114.61,292.3,174.18,790.85,1051.08,3.77,0.9109,23198.69
PRD0000996,PLT001,2025-11-16,C35,35,103.68,320.88,168.98,773.31,1016.42,2.26,0.8839,22619.06
PRD0000997,PLT001,2025-11-16,C35,35,121.07,323.17,170.97,766.41,996.38,4.8,0.8935,26350.57
PRD0000998,PLT001,2025-11-17,C25,25,130.88,256.93,179.1,744.79,1055.38,3.91,0.9329,24618.33
PRD0000999,PLT001,2025-11-17,C30,30,103.36,296.62,171.38,762.28,1007.7,6.61,0.8693,21133.49
PRD0001000,PLT001,2025-11-18,C30,30,132.69,307.84,179.48,796.95,998.98,3.63,0.8695,27129.98
PRD0001001,PLT001,2025-11-18,C30,30,107.67,287.6,173.71,725.1,980.8,4.7,0.9292,21695.53
PRD0001002,PLT001,2025-11-19,C40,40,105.21,364.23,156.19,797.24,1039.47,3.2,0.8998,24590.16
PRD0001003,PLT001,2025-11-19,C40,40,143.15,368.37,157.61,735.57,1052.35,3.98,0.9091,33379.63
PRD0001004,PLT001,2025-11-19,C35,35,122.49,335.13,170.49,708.84,1033.19,1.54,0.9021,26604.55
PRD0001005,PLT001,2025-11-19,C25,25,84.27,261.87,178.87,742.78,1025.59,2.06,0.9095,15942.03
PRD0001006,PLT001,2025-11-19,C25,25,121.56,254.28,177.69,765.59,1003.75,2.18,0.9147,22967.79
PRD0001007,PLT001,2025-11-20,C35,35,141.18,329.64,172.92,759.05,1036.62,2.77,0.9186,30539.58
PRD0001008,PLT001,2025-11-20,C40,40,104.68,358.53,159.74,786.47,1017.24,3.17,0.98,23987.29
PRD0001009,PLT001,2025-11-20,C35,35,117.63,323.3,176.6,766.69,1014.31,4.28,0.9018,25549.3
PRD0001010,PLT001,2025-11-20,C30,30,123.13,299.04,173.37,751.63,1009.36,3.95,0.8558,25259.41
PRD0001011,PLT001,2025-11-20,C40,40,135.77,359.78,162.25,730.08,1002.69,3.42,0.9605,31262.15
PRD0001012,PLT001,2025-11-21,C30,30,106.79,302.35,175.46,725.58,979.08,5.53,0.8659,21852.43
PRD0001013,PLT001,2025-11-21,C30,30,120.37,283.5,177.6,736.66,990.73,5.36,0.888,24501.74
PRD0001014,PLT001,2025-11-22,C25,25,140.64,253.63,179.97,760.42,1049.87,4.68,0.9656,26242.81
PRD0001015,PLT001,2025-11-22,C35,35,124.81,342.73,169.13,755.24,1054.57,3.98,0.98,26591.92
PRD0001016,PLT001,2025-11-23,C40,40,83.88,365.07,150.46,727.2,1057.69,4.83,0.9021,19593.24
PRD0001017,PLT001,2025-11-23,C40,40,93.43,356.02,162.36,782.95,1049.85,5.19,0.9238,21708.32
PRD0001018,PLT001,2025-11-23,C30,30,123.85,295.55,175.69,791.13,1083.55,2.47,0.8964,25156.75
PRD0001019,PLT001,2025-11-24,C40,40,104.85,362.84,155.09,785.69,986.96,3.25,0.8742,24657.97
PRD0001020,PLT001,2025-11-24,C35,35,106.36,328.83,167.9,740.34,1046.21,4.43,0.9472,22845.83
PRD0001021,PLT001,2025-11-24,C40,40,97.62,360.12,163.04,759.82,1041.37,4.01,0.9281,22656.91
PRD0001022,PLT001,2025-11-25,C40,40,128.74,361.3,154.46,761.52,1065.63,3.12,0.8583,30391.57
PRD0001023,PLT001,2025-11-25,C30,30,123.67,309.9,172.06,759.9,1005.61,4.04,0.8891,25166.41
PRD0001024,PLT001,2025-11-25,C25,25,80.91,265.08,184.33,779.9,1013.53,6.95,0.8916,15374.64
PRD0001025,PLT001,2025-11-25,C40,40,93.66,349.78,162.38,778.53,1037.25,2.81,0.8705,22044.8
PRD0001026,PLT001,2025-11-25,C35,35,104.24,325.97,168.47,755.95,969.26,3.18,0.8933,22688.48
PRD0001027,PLT001,2025-11-26,C40,40,159.93,362.89,153.61,759.5,1053.46,3.5,0.8514,37819.24
PRD0001028,PLT001,2025-11-26,C30,30,92.83,305.39,172.09,711.14,1072.08,3.85,0.8527,19057.27
PRD0001029,PLT001,2025-11-26,C30,30,133.98,304.61,174.64,741.67,1003.77,4.91,0.9308,26987.96
PRD0001030,PLT001,2025-11-26,C25,25,126.4,260.25,178.35,765.01,1015.72,2.77,0.931,23788.26
PRD0001031,PLT001,2025-11-26,C30,30,138.11,297.63,168.33,724.3,1069.32,4.47,0.9211,27885.26
PRD0001032,PLT001,2025-11-27,C35,35,117.36,342.31,163.63,776.91,1014.06,1.87,0.856,25776.71
PRD0001033,PLT001,2025-11-27,C40,40,89.45,365.45,161.84,755.44,1038.76,3.52,0.9657,20569.36
PRD0001034,PLT001,2025-11-27,C25,25,104.11,256.33,183.06,776.47,1067.36,4.34,0.9705,19402.7
PRD0001035,PLT001,2025-11-27,C25,25,86.49,260.88,179.71,765.35,1020.22,3.48,0.9225,16310.77
PRD0001036,PLT001,2025-11-28,C40,40,108.02,356.54,157.66,750.81,1024.2,3.73,0.98,24751.65
PRD0001037,PLT001,2025-11-28,C40,40,98.87,367.0,164.95,811.01,980.4,5.01,0.9187,23001.42
PRD0001038,PLT001,2025-11-28,C30,30,100.08,298.88,168.26,764.85,964.08,4.62,0.8822,20399.15
PRD0001039,PLT001,2025-11-28,C30,30,118.91,306.93,177.35,717.59,1024.45,3.03,0.8803,24248.39
PRD0001040,PLT001,2025-11-29,C25,25,93.0,254.42,182.46,797.47,976.03,5.4,0.8927,17665.92
PRD0001041,PLT001,2025-11-29,C30,30,130.14,303.25,175.82,765.37,1023.96,5.13,0.9206,26278.18
PRD0001042,PLT001,2025-12-01,C35,35,107.11,330.76,171.03,725.4,1028.3,6.47,0.8934,23312.86
PRD0001043,PLT001,2025-12-01,C25,25,64.51,266.61,184.01,746.95,1030.94,1.5,0.8758,12304.89
PRD0001044,PLT001,2025-12-01,C30,30,129.41,296.21,180.05,765.38,1036.66,4.12,0.9141,26173.4
PRD0001045,PLT001,2025-12-02,C25,25,140.36,261.97,177.47,749.8,991.39,6.03,0.929,26426.91
PRD0001046,PLT001,2025-12-02,C35,35,119.36,334.25,162.47,732.87,1039.02,6.15,0.9671,25513.52
PRD0001047,PLT001,2025-12-03,C25,25,157.07,274.88,177.07,738.28,1018.22,6.2,0.9316,29555.41
PRD0001048,PLT001,2025-12-03,C40,40,136.93,368.69,161.83,730.1,1014.1,4.42,0.9463,31639.66
PRD0001049,PLT001,2025-12-03,C30,30,101.15,292.21,172.45,790.38,1140.77,5.33,0.9135,20460.15
PRD0001050,PLT001,2025-12-04,C35,35,98.24,322.75,173.35,759.6,1073.34,6.0,0.9044,21324.17
PRD0001051,PLT001,2025-12-04,C40,40,72.02,364.34,162.94,777.81,1050.77,1.59,0.8811,16907.79
PRD0001052,PLT001,2025-12-04,C40,40,98.65,358.33,154.59,739.2,1041.82,3.94,0.929,22892.42
PRD0001053,PLT001,2025-12-04,C40,40,115.56,355.86,165.01,783.06,1004.02,3.55,0.9576,26625.75
PRD0001054,PLT001,2025-12-04,C30,30,139.05,292.23,171.15,781.5,999.37,3.52,0.9026,28202.19
PRD0001055,PLT001,2025-12-05,C25,25,124.29,263.41,184.23,733.76,1040.28,5.05,0.9628,23206.42
PRD0001056,PLT001,2025-12-05,C30,30,131.56,302.66,177.54,727.82,1016.35,4.45,0.9015,26690.22
PRD0001057,PLT001,2025-12-06,C30,30,93.81,289.54,175.14,787.43,1030.49,3.28,0.9032,19024.58
PRD0001058,PLT001,2025-12-06,C40,40,105.64,378.12,164.31,745.64,1067.54,3.11,0.9347,24477.97
PRD0001059,PLT001,2025-12-06,C30,30,85.05,298.04,174.59,725.95,1007.65,3.68,0.8848,17324.92
PRD0001060,PLT001,2025-12-06,C40,40,120.67,376.02,160.93,729.06,999.53,4.31,0.9032,28179.95
PRD0001061,PLT001,2025-12-08,C30,30,122.0,303.96,175.8,756.87,983.6,6.61,0.8726,24926.59
PRD0001062,PLT001,2025-12-08,C25,25,147.55,260.98,174.83,774.04,1003.24,5.83,0.8879,28061.83
PRD0001063,PLT001,2025-12-08,C30,30,87.27,295.08,180.12,761.28,1031.04,2.46,0.9274,17592.62
PRD0001064,PLT001,2025-12-08,C30,30,85.28,299.09,177.37,761.9,992.51,6.02,0.91,17265.35
PRD0001065,PLT001,2025-12-08,C25,25,87.89,265.02,182.1,727.77,1032.25,3.18,0.8715,16782.21
PRD0001066,PLT001,2025-12-09,C40,40,96.38,368.46,154.58,737.41,1073.29,5.59,0.8953,22549.76
PRD0001067,PLT001,2025-12-09,C35,35,112.31,329.02,166.82,771.31,1017.08,4.8,0.9127,24328.47
PRD0001068,PLT001,2025-12-10,C30,30,115.1,302.39,180.89,770.27,1025.95,3.09,0.875,23502.3
PRD0001069,PLT001,2025-12-10,C40,40,113.35,366.12,157.32,749.71,1026.73,3.14,0.9558,26130.01
PRD0001070,PLT001,2025-12-10,C35,35,98.41,325.56,168.77,792.79,1013.93,4.69,0.9301,21226.57
PRD0001071,PLT001,2025-12-10,C25,25,116.04,260.21,181.04,721.15,1027.58,4.45,0.9145,21925.55
PRD0001072,PLT001,2025-12-11,C30,30,84.05,316.52,177.46,751.45,1040.0,5.08,0.9261,16949.61
PRD0001073,PLT001,2025-12-11,C30,30,103.24,302.42,174.14,735.18,1010.57,5.35,0.9242,20829.58
PRD0001074,PLT001,2025-12-11,C30,30,101.78,304.57,172.4,755.5,1041.73,5.51,0.8748,20782.56
PRD0001075,PLT001,2025-12-11,C40,40,105.78,359.76,159.71,799.14,1007.46,4.71,0.9312,24531.73
PRD0001076,PLT001,2025-12-11,C30,30,104.14,303.4,176.26,747.15,1006.81,5.83,0.8891,21190.67
PRD0001077,PLT001,2025-12-12,C25,25,121.42,252.23,180.49,724.66,1038.84,3.89,0.9103,22966.79
PRD0001078,PLT001,2025-12-12,C25,25,92.25,272.09,182.11,744.82,1033.64,5.08,0.8248,17813.11
PRD0001079,PLT001,2025-12-12,C35,35,125.33,333.26,167.12,756.41,964.34,5.31,0.8902,27299.66
PRD0001080,PLT001,2025-12-12,C30,30,92.95,309.8,180.1,781.61,984.35,7.19,0.98,18496.14
PRD0001081,PLT001,2025-12-13,C25,25,107.88,252.65,177.66,721.16,1065.1,5.85,0.9089,20413.1
PRD0001082,PLT001,2025-12-13,C25,25,69.93,251.44,180.95,783.63,971.9,4.84,0.8805,13324.55
PRD0001083,PLT001,2025-12-15,C35,35,82.11,342.5,168.37,741.07,948.37,1.88,0.9729,17525.67
PRD0001084,PLT001,2025-12-15,C30,30,103.43,296.59,172.9,781.84,1004.57,4.79,0.9096,20943.04
PRD0001085,PLT001,2025-12-15,C30,30,116.45,308.3,174.33,735.58,1033.55,3.93,0.9145,23550.81
PRD0001086,PLT001,2025-12-16,C35,35,70.58,329.42,173.83,748.24,1020.83,6.81,0.8414,15555.19
PRD0001087,PLT001,2025-12-16,C35,35,105.32,337.97,166.56,768.29,1025.54,6.38,0.9257,22742.07
PRD0001088,PLT001,2025-12-16,C30,30,93.71,295.97,176.99,754.36,985.23,5.08,0.8965,19034.39
PRD0001089,PLT001,2025-12-17,C40,40,126.95,366.08,162.98,748.04,1054.77,4.03,0.9321,29436.06
PRD0001090,PLT001,2025-12-17,C35,35,73.41,325.36,164.34,785.22,1017.37,5.45,0.9342,15818.07
PRD0001091,PLT001,2025-12-17,C35,35,124.42,332.54,169.15,752.42,1048.09,4.29,0.9458,26733.85
PRD0001092,PLT001,2025-12-18,C40,40,115.11,365.75,166.89,789.82,1018.37,5.14,0.9116,26825.74
PRD0001093,PLT001,2025-12-18,C25,25,111.75,265.1,183.0,765.36,998.94,4.29,0.9208,21082.35
PRD0001094,PLT001,2025-12-18,C30,30,85.6,308.78,176.05,784.42,1017.34,3.32,0.9568,17131.22
PRD0001095,PLT001,2025-12-18,C30,30,126.88,306.39,172.96,794.89,1041.84,2.91,0.98,25248.62
PRD0001096,PLT001,2025-12-19,C25,25,121.11,253.3,181.54,753.04,1029.9,5.39,0.8902,23019.74
PRD0001097,PLT001,2025-12-19,C35,35,98.27,333.64,164.85,763.65,979.7,4.2,0.935,21170.68
PRD0001098,PLT001,2025-12-19,C30,30,110.35,309.01,175.82,774.03,1032.16,3.89,0.9204,22283.32
PRD0001099,PLT001,2025-12-20,C35,35,154.97,331.17,172.56,727.82,1020.89,4.23,0.9134,33564.65
PRD0001100,PLT001,2025-12-20,C40,40,111.87,354.1,161.1,791.93,1016.47,4.08,0.8866,26228.48
PRD0001101,PLT001,2025-12-21,C25,25,125.11,268.93,183.22,749.67,1012.67,5.68,0.98,23260.79
PRD0001102,PLT001,2025-12-21,C35,35,114.61,328.25,162.12,741.16,976.55,3.15,0.9117,24834.25
PRD0001103,PLT001,2025-12-21,C25,25,109.18,256.3,183.71,752.04,984.81,4.06,0.8988,20709.27
PRD0001104,PLT001,2025-12-21,C30,30,66.31,294.49,174.97,760.08,1022.88,4.99,0.8911,13487.2
PRD0001105,PLT001,2025-12-22,C40,40,144.12,368.34,162.59,751.89,1018.4,7.47,0.9032,33655.53
PRD0001106,PLT001,2025-12-22,C30,30,126.09,301.95,183.11,767.24,1025.82,4.62,0.8898,25653.55
PRD0001107,PLT001,2025-12-22,C40,40,116.69,373.92,156.92,781.4,993.92,4.19,0.9432,26982.4
PRD0001108,PLT001,2025-12-23,C40,40,157.99,363.17,163.77,762.41,1074.7,4.75,0.9186,36754.68
PRD0001109,PLT001,2025-12-23,C40,40,139.87,362.04,164.04,734.12,1009.43,5.6,0.9055,32644.3
PRD0001110,PLT001,2025-12-23,C40,40,100.11,365.19,156.13,765.31,983.75,3.43,0.9143,23313.35
PRD0001111,PLT001,2025-12-23,C40,40,94.25,353.82,161.68,733.37,1033.65,2.14,0.8746,22162.37
PRD0001112,PLT001,2025-12-24,C40,40,110.7,359.07,155.23,800.99,1070.2,2.33,0.9204,25741.13
PRD0001113,PLT001,2025-12-24,C40,40,137.02,360.48,156.7,774.99,998.55,5.35,0.8315,32557.37
PRD0001114,PLT001,2025-12-24,C40,40,111.72,368.24,160.6,754.93,1015.76,4.29,0.9108,26041.0
PRD0001115,PLT001,2025-12-24,C25,25,118.84,253.38,187.22,780.65,1003.32,4.43,0.9507,22256.26
PRD0001116,PLT001,2025-12-25,C25,25,102.4,257.78,180.38,736.25,1085.64,3.9,0.8925,19453.64
PRD0001117,PLT001,2025-12-25,C40,40,102.77,371.23,165.24,756.68,914.12,4.57,0.9106,23956.12
PRD0001118,PLT001,2025-12-25,C35,35,127.96,328.89,173.6,732.46,1043.02,3.81,0.8685,28018.45
PRD0001119,PLT001,2025-12-25,C25,25,113.98,261.35,180.87,797.41,997.54,5.76,0.8872,21681.47
PRD0001120,PLT001,2025-12-26,C35,35,115.52,318.99,170.0,741.52,1046.41,6.58,0.8896,25165.57
PRD0001121,PLT001,2025-12-26,C25,25,107.12,268.82,180.12,773.9,1006.31,4.18,0.9065,20279.64
PRD0001122,PLT001,2025-12-26,C25,25,82.82,263.81,182.74,730.1,1024.18,3.14,0.8553,15874.96
PRD0001123,PLT001,2025-12-26,C30,30,116.46,298.56,177.07,764.7,1038.07,5.23,0.8188,24103.78
PRD0001124,PLT001,2025-12-26,C25,25,100.97,266.76,179.53,760.91,1042.52,4.6,0.9628,18853.27
PRD0001125,PLT001,2025-12-28,C25,25,102.82,268.38,179.89,726.17,1026.64,4.68,0.9344,19333.3
PRD0001126,PLT001,2025-12-28,C25,25,115.11,254.32,178.81,727.24,1003.14,4.05,0.9307,21664.9
PRD0001127,PLT001,2025-12-28,C25,25,106.46,258.01,184.81,748.8,1044.34,5.27,0.9508,19936.66
PRD0001128,PLT001,2025-12-28,C40,40,79.46,362.14,159.14,729.65,1020.28,5.94,0.8889,18618.92
PRD0001129,PLT001,2025-12-28,C30,30,122.6,307.06,175.36,748.06,1004.0,2.89,0.89,24942.87
PRD0001130,PLT001,2025-12-29,C30,30,137.2,291.01,184.16,745.37,1062.6,6.18,0.912,27762.53
PRD0001131,PLT001,2025-12-29,C40,40,102.87,366.91,155.26,783.9,1041.07,6.07,0.8868,24119.07
PRD0001132,PLT001,2025-12-30,C30,30,109.5,304.74,180.96,767.03,1015.61,4.2,0.8796,22332.55
PRD0001133,PLT001,2025-12-30,C40,40,97.75,357.19,156.88,773.84,1032.97,4.51,0.8566,23086.94
PRD0001134,PLT001,2025-12-30,C35,35,140.98,329.99,175.88,769.19,1019.1,1.87,0.8462,31036.48
PRD0001135,PLT001,2025-12-31,C30,30,129.0,295.86,180.67,748.0,1021.66,5.96,0.8979,26194.73
PRD0001136,PLT001,2025-12-31,C35,35,111.0,332.61,168.53,787.28,999.44,6.19,0.9196,24005.62
PRD0001137,PLT001,2025-12-31,C35,35,109.96,319.92,161.09,748.94,1048.79,4.26,0.8576,24141.93
PRD0001138,PLT002,2025-01-01,C35,35,84.67,330.95,157.16,767.5,1024.1,4.42,0.8753,18508.76
PRD0001139,PLT002,2025-01-01,C30,30,102.88,297.9,168.74,770.63,1069.21,6.52,0.8123,21326.22
PRD0001140,PLT002,2025-01-01,C25,25,132.28,266.95,181.83,768.76,1024.98,6.16,0.9024,25069.47
PRD0001141,PLT002,2025-01-01,C25,25,102.32,266.8,186.66,779.18,1044.48,4.27,0.8477,19649.32
PRD0001142,PLT002,2025-01-02,C35,35,104.21,332.53,170.13,768.77,1034.6,3.87,0.9259,22500.73
PRD0001143,PLT002,2025-01-02,C40,40,100.12,369.49,161.68,757.79,982.4,4.29,0.8079,23923.87
PRD0001144,PLT002,2025-01-03,C30,30,107.79,289.31,177.74,779.04,985.93,4.75,0.8845,21958.91
PRD0001145,PLT002,2025-01-03,C30,30,73.17,290.1,175.53,757.06,985.1,6.22,0.8195,15141.54
PRD0001146,PLT002,2025-01-03,C25,25,76.9,264.81,185.18,773.15,960.26,3.26,0.8399,14795.78
PRD0001147,PLT002,2025-01-03,C30,30,134.26,307.4,176.85,756.17,947.18,4.97,0.9115,27172.08
PRD0001148,PLT002,2025-01-04,C40,40,152.54,357.91,166.11,724.58,985.56,5.63,0.8449,36128.53
PRD0001149,PLT002,2025-01-04,C25,25,101.6,265.36,177.92,731.36,1081.42,4.47,0.9089,19224.12
PRD0001150,PLT002,2025-01-05,C40,40,142.18,366.57,154.6,713.08,1036.49,4.35,0.8238,33843.64
PRD0001151,PLT002,2025-01-05,C30,30,99.74,309.44,176.97,740.04,1005.01,4.41,0.8245,20614.79
PRD0001152,PLT002,2025-01-05,C40,40,106.48,369.32,155.05,746.28,1072.75,3.81,0.8538,25164.61
PRD0001153,PLT002,2025-01-06,C35,35,122.83,324.82,176.44,791.73,1046.7,6.06,0.8561,26977.32
PRD0001154,PLT002,2025-01-06,C35,35,76.41,336.0,160.02,724.34,1036.95,6.45,0.8666,16739.61
PRD0001155,PLT002,2025-01-06,C40,40,68.77,371.37,159.36,779.51,973.58,2.97,0.878,16158.56
PRD0001156,PLT002,2025-01-07,C30,30,121.83,305.36,176.25,754.61,987.16,5.18,0.8815,24837.49
PRD0001157,PLT002,2025-01-07,C35,35,84.29,325.86,171.56,777.26,1019.96,3.92,0.8497,18541.64
PRD0001158,PLT002,2025-01-07,C35,35,88.14,338.11,173.4,751.78,1068.41,5.77,0.8026,19608.69
PRD0001159,PLT002,2025-01-07,C25,25,84.17,254.78,187.01,696.96,1017.83,5.85,0.9157,15899.98
PRD0001160,PLT002,2025-01-07,C25,25,101.9,251.9,183.45,749.57,1054.57,6.06,0.8934,19354.45
PRD0001161,PLT002,2025-01-08,C25,25,73.23,258.75,181.46,708.32,1051.14,4.28,0.815,14174.61
PRD0001162,PLT002,2025-01-08,C30,30,108.18,298.23,176.44,721.2,1076.57,5.71,0.8483,22231.62
PRD0001163,PLT002,2025-01-09,C25,25,117.1,269.87,180.24,726.73,1017.88,3.1,0.8209,22633.45
PRD0001164,PLT002,2025-01-09,C30,30,65.75,301.24,176.47,745.07,1033.84,4.73,0.7846,13719.44
PRD0001165,PLT002,2025-01-09,C35,35,138.24,334.42,157.13,743.62,952.74,3.3,0.8216,30614.56
PRD0001166,PLT002,2025-01-09,C25,25,141.37,268.62,180.4,760.18,1046.89,2.53,0.8039,27434.94
PRD0001167,PLT002,2025-01-10,C35,35,85.4,332.9,165.46,762.52,985.62,5.92,0.9555,18306.47
PRD0001168,PLT002,2025-01-10,C25,25,55.0,263.93,185.93,717.89,1066.65,3.26,0.847,10564.14
PRD0001169,PLT002,2025-01-11,C40,40,111.58,377.79,161.76,744.31,1002.79,4.99,0.8665,26288.38
PRD0001170,PLT002,2025-01-11,C30,30,86.43,300.3,184.63,773.13,998.31,4.97,0.8841,17609.35
PRD0001171,PLT002,2025-01-11,C30,30,141.42,308.22,171.04,789.43,1042.93,6.62,0.8097,29332.35
PRD0001172,PLT002,2025-01-11,C35,35,122.35,328.88,171.42,790.83,985.39,3.88,0.8634,26824.04
PRD0001173,PLT002,2025-01-11,C35,35,180.0,324.36,169.87,770.48,997.94,2.94,0.8486,39604.2
PRD0001174,PLT002,2025-01-12,C40,40,153.67,372.67,161.71,741.61,1016.42,5.27,0.8912,35989.34
PRD0001175,PLT002,2025-01-12,C35,35,95.37,324.56,171.29,782.95,1047.14,6.32,0.8016,21220.72
PRD0001176,PLT002,2025-01-12,C40,40,55.0,358.56,157.91,772.3,1051.79,3.81,0.8449,13026.1
PRD0001177,PLT002,2025-01-13,C40,40,94.98,362.63,161.38,741.56,1011.87,4.16,0.9256,22057.68
PRD0001178,PLT002,2025-01-13,C35,35,97.03,336.46,160.85,717.39,972.86,3.05,0.8664,21257.02
PRD0001179,PLT002,2025-01-14,C35,35,79.93,338.73,169.83,753.39,1052.27,3.96,0.8583,17544.94
PRD0001180,PLT002,2025-01-14,C40,40,93.28,356.8,160.7,763.97,995.17,5.0,0.878,21915.84
PRD0001181,PLT002,2025-01-15,C25,25,121.98,254.76,174.72,780.78,1034.32,4.14,0.8927,23172.38
PRD0001182,PLT002,2025-01-15,C25,25,119.1,256.12,181.88,758.25,995.35,4.98,0.791,23184.84
PRD0001183,PLT002,2025-01-15,C35,35,87.34,335.72,168.37,770.23,1003.29,4.46,0.8808,19068.5
PRD0001184,PLT002,2025-01-16,C35,35,99.92,329.38,163.96,775.92,989.36,4.29,0.8465,21996.66
PRD0001185,PLT002,2025-01-16,C35,35,121.46,333.58,166.33,784.1,966.23,4.94,0.8979,26405.91
PRD0001186,PLT002,2025-01-17,C25,25,111.78,262.54,181.88,766.19,1022.87,4.28,0.8221,21599.27
PRD0001187,PLT002,2025-01-17,C30,30,114.42,295.6,179.44,762.77,1070.38,3.75,0.9049,23193.68
PRD0001188,PLT002,2025-01-17,C35,35,103.55,336.8,171.69,801.52,1034.07,3.45,0.8469,22793.44
PRD0001189,PLT002,2025-01-17,C40,40,86.72,366.4,159.75,756.52,1026.11,3.89,0.9425,20056.99
PRD0001190,PLT002,2025-01-18,C35,35,132.16,325.36,164.44,718.31,1006.39,5.76,0.915,28614.34
PRD0001191,PLT002,2025-01-18,C25,25,96.29,252.19,180.04,753.29,1046.29,3.85,0.7912,18744.11
PRD0001192,PLT002,2025-01-18,C35,35,69.0,323.65,169.03,752.57,978.24,6.47,0.9358,14863.86
PRD0001193,PLT002,2025-01-19,C35,35,149.68,310.42,166.23,748.33,1011.42,3.37,0.9001,32523.74
PRD0001194,PLT002,2025-01-19,C35,35,95.46,321.46,173.15,781.59,1056.06,2.81,0.9333,20574.32
PRD0001195,PLT002,2025-01-19,C25,25,113.3,254.48,179.06,747.41,1007.72,4.46,0.8673,21655.17
PRD0001196,PLT002,2025-01-19,C25,25,83.27,260.72,187.9,739.57,985.5,4.0,0.8751,15885.62
PRD0001197,PLT002,2025-01-20,C30,30,120.33,301.04,172.02,760.16,1044.47,5.36,0.8542,24692.7
PRD0001198,PLT002,2025-01-20,C30,30,123.5,298.6,174.36,713.03,1043.3,4.47,0.843,25413.27
PRD0001199,PLT002,2025-01-20,C30,30,180.0,294.45,169.96,790.5,1003.04,5.26,0.8836,36677.42
PRD0001200,PLT002,2025-01-20,C40,40,108.61,365.25,165.67,780.19,971.65,3.63,0.88,25505.2
PRD0001201,PLT002,2025-01-20,C40,40,161.75,364.77,159.71,721.55,959.13,4.43,0.8203,38535.28
PRD0001202,PLT002,2025-01-21,C25,25,91.47,254.21,173.25,770.82,1010.48,5.82,0.8537,17540.34
PRD0001203,PLT002,2025-01-21,C35,35,106.21,338.47,168.64,728.27,979.5,5.13,0.7978,23655.63
PRD0001204,PLT002,2025-01-21,C35,35,87.24,319.9,161.46,779.11,1019.91,3.68,0.867,19108.8
PRD0001205,PLT002,2025-01-21,C35,35,85.36,333.45,167.54,768.74,1019.9,5.76,0.8278,18874.46
PRD0001206,PLT002,2025-01-22,C30,30,118.48,299.08,173.35,758.35,1001.13,4.55,0.8555,24306.03
PRD0001207,PLT002,2025-01-22,C40,40,111.64,366.11,157.88,739.93,989.39,4.21,0.8857,26182.46
PRD0001208,PLT002,2025-01-22,C35,35,97.43,321.51,165.94,775.9,948.1,5.46,0.7944,21716.87
PRD0001209,PLT002,2025-01-23,C40,40,146.9,361.7,156.73,777.66,1030.7,2.27,0.8655,34620.28
PRD0001210,PLT002,2025-01-23,C30,30,99.64,297.54,176.22,781.73,961.92,4.59,0.8292,20570.07
PRD0001211,PLT002,2025-01-24,C35,35,113.61,325.39,168.03,754.69,1000.18,3.94,0.8546,24961.56
PRD0001212,PLT002,2025-01-24,C30,30,103.88,300.88,170.89,744.72,1067.7,5.0,0.8466,21357.03
PRD0001213,PLT002,2025-01-24,C25,25,102.96,256.59,191.84,728.83,1031.62,3.89,0.8476,19773.18
